"","Total.x","Percentage.x","Q1_KEY_B","Q2_KEY_D","Q3_KEY_B.x","Question.4..","researchID","Total.y","Percentage.y","Q1_KEY_C","Q2_KEY_B.x","Q2.2_KEY_B","Q4_KEY_B","Q4.2_KEY_B","Q4.3_KEY_B","Q8_NOKEY","Q9_NOKEY","Q10_NOKEY","Q13_KEY_E","Q14_NOKEY","Q15_NOKEY","Q15.2_NOKEY","Q18_KEY_A","Q19_KEY_A","Q19_KEY_B","Total.x.x","Percentage.x.x","Q1_KEY_A","Q2_KEY_B.y","Q3_KEY_B.y","Q3.2_KEY_B","Q5_KEY_A","Q5.2_KEY_A","Q7_KEY_A","Q8_KEY_A","Q9_KEY_B","Q10_KEY_A","Q10.3_KEY_A","Q13_KEY_B","Q13.2_KEY_B","Q1.2_KEY_A","Q17_KEY_D","Q17.2_KEY_D","Total.y.y","Percentage.y.y","Q3_KeyA","Q4_nokey","Q5_KEYD","Q6_KeyB","Q7_KeyB","Q8_nokey","Q9_nokey","Q10_nokey","Q11_KeyA","Q1_KEYB","Q2_KEYA","Q4_KEYB","Q5_KEYB","Question.6..","Q8_KEYB","Q9_KEYA","Q10_KEYB","Q11_KEYC","Q12_KEYA","Q13_KEYB","Q13.B_KEYB","Q15_KEYC","Q16_KEYA","Total.x.x.x","Percentage.x.x.x","Q1.KEYC","Q2.KeyA","Q2.2.KeyA","Q4.KeyA","Q9.KeyE","Q15.KeyD","Total.y.y.y","Percentage.y.y.y","Q3KeyA","Q5KeyA","Q5.1KeyA","Q7KeyB","Q9KeyD","Q9.1KeyD","Q11KekyA","Q12KeyA","Q13KeyC","Q13.1KeyC","Total.x.x.x.x","Percentage.x.x.x.x","QuestioQ1KeyCn.1..","Q1.2KeyC","Q3KeyC","Q4KeyC.x","Q5KeyC.x","Total.y.y.y.y","Percentage.y.y.y.y","Q1KeyA","Q2KeyB","Q2.1KeyB","Q4KeyB","Q6KeyB","Q6.2KeyB","Q6.3KeyB","Question.9..","Q10KeyA","Q10.2KeyA","Q13KyA","Total","Percentage","Q1KeyC","Q2KeyE","Q2.1KeyE","Q4KeyC.y","Q5KeyC.y","Q6KeyA","count_matrix"
"21",NA,NA,NA,NA,NA,NA,"gm172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","A","B","B","NV","B","A","B","C","A","B","B","C","C"," 2","100%","C","NV","B","A","B","D"," 0","0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"," 2","100%","C","C","C","C","C"," 2","100%","B","B","NV","B","B","B","B","NV","B","B","A"," 2","100%","C","E","E","C","C","A",5
"22",NA,NA,NA,NA,NA,NA,"gm172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","A","B","B","NV","B","A","B","C","A","B","B","C","C"," 2","100%","C","NV","B","A","B","D"," 0","0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"," 2","100%","C","C","C","C","C"," 2","100%","B","B","NV","B","B","B","B","NV","B","B","A"," 2","100%","C","E","E","C","C","A",5
"23",NA,NA,NA,NA,NA,NA,"gm172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","A","B","B","NV","B","A","B","C","A","B","B","C","C"," 2","100%","C","NV","B","A","B","D"," 0","0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"," 2","100%","C","C","C","C","C"," 2","100%","B","B","NV","B","B","B","B","NV","B","B","A"," 2","100%","C","E","E","C","C","A",5
"24"," 0","0%","NV","NV","NV","NV","gr7"," 2","100%","C","B","NV","B","A","A","B","NV","NV","C","NV","A","NV","B","NV","B"," 2","100%","NV","B","C","B","NV","NV","A","A","NV","NV","A","C","B","A","D","D"," 2","100%","A","D","D","B","B","NV","B","D","B","B","A","B","A","NV","A","A","B","C","A","B","B","C","C"," 2","100%","C","B","A","C","B","D"," 2","100%","A","A","A","B","D","D","A","NV","C","C"," 2","100%","C","D","C","C","C"," 2","100%","A","A","A","B","D","D","D","NV","A","B","A"," 2","100%","A","C","A","A","C","A",10
"25",NA,NA,NA,NA,NA,NA,"gz132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","A","A","B","NV","B","A","B","C","A","B","B","A","C"," 2","100%","A","A","A","NV","E","C"," 2","100%","A","D","A","A","B","D","A","A","C","C"," 2","100%","C","C","C","C","A"," 2","100%","A","B","B","B","D","D","D","NV","B","NV","A"," 2","100%","C","A","E","C","C","A",31
"26",NA,NA,NA,NA,NA,NA,"hc97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0","0%","NV","NV","NV","NV","NV","NV"," 0","0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"," 0","0%","NV","NV","NV","NV","NV"," 0","0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"," 0","0%","NV","NV","NV","NV","NV","NV",29
"27"," 0","0%","NV","NV","NV","NV","hl94"," 2","100%","B","B","C","C","B","B","C","C","C","D","D","C","NV","A","A","C"," 2","100%","A","B","A","C","B","NV","A","A","B","C","A","D","D","A","B","A"," 2","100%","A","D","C","C","B","B","B","D","B","B","A","E","B","NV","B","A","B","C","A","B","B","C","C"," 2","100%","A","B","B","D","NV","NV"," 2","100%","A","A","A","C","D","D","A","B","C","B"," 2","100%","B","C","B","C","C"," 2","100%","C","A","B","B","D","B","B","NV","B","B","A"," 2","100%","C","A","NV","B","C","A",2
"28"," 0","0%","NV","NV","NV","NV","hl94"," 2","100%","B","B","C","C","B","B","C","C","C","D","D","C","NV","A","A","C"," 2","100%","A","B","A","C","B","NV","A","A","B","C","A","D","D","A","B","A"," 2","100%","A","D","C","C","B","B","B","D","B","B","A","E","B","NV","B","A","B","C","A","B","B","C","C"," 2","100%","A","B","B","D","NV","NV"," 2","100%","A","A","A","C","D","D","A","B","C","B"," 2","100%","B","C","B","C","C"," 2","100%","C","A","B","B","D","B","B","NV","B","B","A"," 2","100%","C","A","NV","B","C","A",2
"29"," 2","100%","B","D","B","NV","ho117"," 2","100%","C","A","A","B","A","B","B","B","C","E","C","B","B","A","A","B"," 2","100%","A","B","B","B","A","NV","A","A","B","A","NV","D","A","A","D","D"," 2","100%","A","D","E","B","B","A","C","D","A","B","A","B","B","NV","B","A","A","B","A","B","B","C","A"," 2","100%","C","B","B","A","B","D"," 2","100%","A","A","A","B","D","D","A","NV","NV","NV"," 2","100%","C","C","C","D","NV"," 2","100%","A","B","B","B","D","D","D","NV","B","B","NV"," 2","100%","NV","A","E","C","C","A",2
"30"," 2","100%","B","D","B","NV","ij80"," 2","100%","C","B","B","B","A","B","A","B","C","E","C","A","B","A","A","B"," 2","100%","A","B","B","B","B","NV","A","A","B","D","A","D","D","A","A","D"," 0","0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"," 2","100%","C","A","A","A","A","D"," 2","100%","A","A","A","C","B","D","A","A","C","C"," 2","100%","C","C","C","B","C"," 2","100%","A","B","B","A","A","B","B","NV","A","B","A"," 2","100%","C","A","A","B","B","A",17
"31"," 2","100%","B","D","B","NV","il134"," 2","100%","C","B","C","C","NV","B","B","C","NV","D","D","C","A","A","NV","B"," 2","100%","B","B","C","B","B","NV","A","B","B","B","C","A","B","B","C","A"," 2","100%","A","D","D","B","B","B","D","C","A","B","B","B","NV","NV","B","A","B","A","NV","A","B","A","NV"," 2","100%","C","B","B","A","A","D"," 2","100%","A","A","A","B","B","D","A","A","B","B"," 2","100%","B","NV","C","C","C"," 2","100%","A","B","B","B","D","D","B","NV","A","B","NV"," 2","100%","A","E","NV","A","A","A",4
"32",NA,NA,NA,NA,NA,NA,"ix115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 2","100%","B","B","B","NV","B","NV","A","A","B","NV","C","C","B","C","A","A"," 2","100%","A","D","D","B","B","B","C","D","A","B","A","B","B","NV","B","A","A","C","A","B","B","C","C"," 2","100%","NV","A","B","A","A","D"," 2","100%","A","C","A","C","D","D","A","A","C","C"," 2","100%","C","C","C","A","C"," 0","0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"," 2","100%","C","E","E","C","C","A",7
"33"," 2","100%","B","D","B","NV","jh167"," 2","100%","B","C","C","B","NV","A","B","B","C","E","C","B","B","A","A","B"," 2","100%","A","B","C","B","A","NV","A","A","B","A","A","B","B","A","A","D"," 2","100%","A","D","D","B","B","D","B","D","B","NV","NV","NV","A","NV","A","B","B","A","B","B","B","C","C"," 2","100%","C","B","B","A","E","D"," 2","100%","A","A","A","B","D","D","B","B","B","B"," 2","100%","A","A","C","C","C"," 2","100%","A","B","B","A","D","D","D","NV","A","A","NV"," 2","100%","A","A","A","A","A","A",86
"34"," 0","0%","NV","NV","NV","NV","jr82"," 2","100%","C","C","B","B","B","B","B","C","C","E","C","B","B","A","A","B"," 2","100%","B","B","B","C","B","NV","A","A","A","A","A","B","C","A","A","D"," 0","0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","B","A","D","B","NV","B","A","B","B","A","B","B","D","C"," 2","100%","NV","B","B","D","C","C"," 2","100%","A","A","A","B","D","D","A","A","B","B"," 2","100%","C","C","C","C","C"," 2","100%","C","A","A","B","D","D","D","NV","A","A","B"," 2","100%","C","D","D","B","B","B",8
"35",NA,NA,NA,NA,NA,NA,"js147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"," 0","0%","NV","NV","NV","NV","NV","NV"," 0","0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"," 0","0%","NV","NV","NV","NV","NV"," 0","0%","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV","NV"," 0","0%","NV","NV","NV","NV","NV","NV",45
